test
temperature = 1.513630, chi = 16.000000, tolerance = 1e-07, max iterations = 2000000.000000 at 24-Nov-2016 15:08:27.
temperature = -1.221989, chi = 2.000000, tolerance = 1e-07, max iterations = 100000.000000 at 25-Nov-2016 11:58:07.
temperature = 2.269408, chi = 32.000000, tolerance = 1e-07, max iterations = 100000.000000 at 07-Dec-2016 10:25:23.
temperature = 2.269408, chi = 32.000000, tolerance = 1e-07, max iterations = 100000.000000 at 07-Dec-2016 10:31:24.
temperature = 2.269408, chi = 32.000000, tolerance = 1e-07, max iterations = 100000.000000 at 07-Dec-2016 10:41:57.
temperature = 2.269408, chi = 32.000000, tolerance = 1e-07, max iterations = 100000.000000 at 07-Dec-2016 10:52:18.
temperature = 2.269185, chi = 32.000000, tolerance = 1e-15, max iterations = 2000000.000000 at 07-Dec-2016 21:22:46.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:41:47.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:41:57.
temperature = 0.840651, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:09.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:18.
temperature = 0.840651, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:28.
temperature = 0.840651, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:38.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:47.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:42:57.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:43:35.
temperature = 0.840642, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:43:45.
temperature = 0.840641, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:43:55.
temperature = 0.840658, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:44:05.
temperature = 0.840653, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:44:13.
temperature = 0.840653, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:44:22.
temperature = 0.840649, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:44:32.
temperature = 0.840651, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:44:41.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:11.
temperature = 0.840569, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:20.
temperature = 0.840688, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:30.
temperature = 0.840579, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:39.
temperature = 0.840656, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:49.
temperature = 0.840551, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:45:58.
temperature = 0.840635, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:08.
temperature = 0.840595, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:20.
temperature = 0.840682, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:28.
temperature = 0.840651, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:37.
temperature = 0.840670, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:47.
temperature = 0.840590, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:46:58.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:47:55.
temperature = 0.840555, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:05.
temperature = 0.840738, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:13.
temperature = 0.840690, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:22.
temperature = 0.840661, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:31.
temperature = 0.840610, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:41.
temperature = 0.840559, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:48:52.
temperature = 0.840721, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:01.
temperature = 0.840670, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:11.
temperature = 0.840554, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:21.
temperature = 0.840737, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:30.
temperature = 0.840552, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:40.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:49:59.
temperature = 0.840708, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:50:08.
temperature = 0.840656, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:50:17.
temperature = 0.840609, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:50:26.
temperature = 0.784033, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:54.
temperature = 0.784018, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:55.
temperature = 0.784042, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:56.
temperature = 0.783971, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:56.
temperature = 0.784081, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:57.
temperature = 0.783975, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:58.
temperature = 0.783953, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:58.
temperature = 0.784112, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:59.
temperature = 0.784097, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:00.
temperature = 0.784109, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:00.
temperature = 0.783950, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:01.
temperature = 0.784073, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:02.
temperature = 0.783967, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:02.
temperature = 0.784099, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:03.
temperature = 0.784078, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:04.
temperature = 0.784088, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:04.
temperature = 0.784085, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:05.
temperature = 0.783944, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:05.
temperature = 0.784054, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:06.
temperature = 0.784112, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:07.
temperature = 0.784036, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:07.
